,Artist,Title,Mood
167,Atreyu,Lip Gloss And Black,angry
168,Alkaline Trio,Burn,angry
169,Demon Hunter,Lifewar,angry
170,Hot Hot Heat,Bandages,sad
171,Buzzcocks,Love You More,happy
172,Social Distortion,Ring Of Fire,angry
173,Streetlight Manifesto,Sick And Sad,sad
174,Reel Big Fish,The Fire,angry
175,Limp Bizkit,Take A Look Around,angry
176,Rancid,The Bravest Kids,angry
177,The Clash,White Riot,angry
178,Me First & The Gimme Gimmes,Over The Rainbow,relaxed
179,The Winans,Uphold Me,happy
180,Donnie McClurkin,We Fall Down,sad
181,Tonex,God Has Not 4got,happy
182,Jonathan Nelson,My Name Is Victory ,happy
183,Tamela Mann,Joy Of The Lord,happy
184,CeCe Winans,Waging War,angry
185,Juanita Bynum,Peace,relaxed
186,Vanessa Bell Armstrong,Desire Of My Heart,happy
187,B.B. King,The Thrill Is Gone,happy
188,The Art Of Noise,Moments In Love,happy
189,Norah Jones,Chasing Pirates,sad
190,Sade,Never As Good As The First Time,relaxed
191,Chaka Khan,Through The Fire,angry
192,Alicia Keys,Fallin',happy
193,Sade,I Couldn't Love You More,happy
194,Sting,It's Probably Me,angry
195,Go West,What You Won't Do For Love,happy
196,Robin Thicke,Lost Without U,happy
197,Sade,No Ordinary Love,happy
198,Luther Vandross,Any Love,happy
199,Sade,Kiss Of Life,happy
200,Jason Mraz,Lucky ,happy
201,Kenny G,What A Wonderful World ,relaxed
202,Bobby Caldwell,What You Won't Do For Love,happy
203,Dave Matthews Band,Crash Into Me,angry
204,Michael Buble,Home,relaxed
205,Anita Baker,Same Ole Love ,happy
206,Enya,Caribbean Blue,relaxed
207,Natalie Cole,This Will Be,happy
208,Avenged Sevenfold,Scream,angry
209,Metallica,Holier Than Thou,sad
210,Hail The Villain,Take Back The Fear,angry
211,Sick Puppies,Street Fighter ,angry
212,Flyleaf,I'm So Sick,sad
213,Nirvana,You Know You're Right,angry
214,Three Days Grace,Home,relaxed
215,Three Days Grace,Animal I Have Become,angry
216,Breaking Benjamin,Until The End,angry
217,Disturbed,The Game,angry
218,Metallica,Seek And Destroy,angry
219,Red,Death Of Me,sad
220,The Prodigy,Breathe,angry
221,Smashing Pumpkins,Disarm,angry
222,Soundgarden,Rusty Cage,sad
223,Silverchair,Tomorrow,sad
224,Rage Against The Machine,Bombtrack,angry
225,Taio Cruz,Dirty Picture ,sad
226,Baby Bash,That's How I Go ,relaxed
227,Baby Bash,Cyclone ,angry
228,Baby Bash,Fantasy Girl ,relaxed
229,Ivory Joe Hunter,Since I Met You Baby,happy
230,Whitney Houston,I Will Always Love You,happy
231,Shop Boyz,Party Like A Rock Star,happy
232,Lady Gaga,LoveGame,happy
233,Mary J. Blige,Real Love,happy
234,Chamillionaire,Ridin ,sad
235,Keith Sweat,Nobody ,happy
236,Juvenile,Slow Motion ,sad
237,Mary Wells,What Love Has Joined Together,happy
238,Fidel Rueda,Me Encantaria,sad
239,Palomo,No Me Conoces Aun,sad
240,Los Pikadientes De Caborca,La Cumbia Del Rio,sad
241,K-Paz De La Sierra,Volvere,sad
242,Chalino Sanchez,Cuatro Espadas,sad
243,Banda El Recodo,Pena Tras Pena,sad
244,Los Cadetes De Linares,Las Tres Tumbas,sad
245,Los Temerarios,Al Otro Lado Del Sol,sad
246,Chalino Sanchez,Baraja De Oro ,sad
247,Eric Church,Love Your Love The Most,happy
248,Tim McGraw,It's Your Love ,happy
249,Temple Of The Dog,Hunger Strike,sad
250,Eric Clapton,Cocaine,angry
251,Soul For Real,Candy Rain,relaxed
252,Tank,Sex Music,happy
253,Matt Redman,This Is How We Know,happy
254,Big Daddy Weave,Just The Way I Am,happy
255,Point Of Grace,All The World,relaxed
256,Steven Curtis Chapman,All About Love,happy
257,Chris Tomlin,Our God,happy
258,Steven Curtis Chapman,Not Home Yet,relaxed
259,Digital Underground,Kiss You Back,happy
260,Mark Ronson,Bang Bang Bang ,sad
261,Sting,I Hung My Head,sad
262,Carrie Rodriguez,Big Love,happy
263,The Secret Sisters,The One I Love Is Gone,relaxed
264,Shelby Lynne,Family Tree,sad
265,Ra Ra Riot,Foolish,sad
266,Nitin Sawhney,Sunset,relaxed
267,Sidewalk Prophets,You Can Have Me,happy
268,Rebecca St. James,Song Of Love,happy
269,Aaron Shust,My Savior My God,happy
270,By The Tree,Beautiful One,happy
271,Josh Wilson,Before The Morning,angry
272,Aaron Shust,Give Me Words To Speak,relaxed
273,Jeremy Camp,Take You Back,angry
274,Jeremy Camp,Beautiful One,happy
275,Rich Mullins,Awesome God,happy
276,City On A Hill,God Of Wonders,relaxed
277,"Phillips, Craig & Dean",Friend Of God,happy
278,Third Day,I've Always Loved You,happy
279,Building 429,I Believe ,happy
280,DecembeRadio,Love Can,happy
281,Avalon,Testify To Love,relaxed
282,Sonicflood,I Could Sing Of Your Love Forever,happy
283,Nichole Nordeman,Time After Time ,sad
284,Marco Antonio Solis,Si No Te Hubieras Ido,sad
285,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad
286,Grupo Bryndis,Por Estar Pensando En Ti,sad
287,Juan Gabriel,Pero Que Necesidad,sad
288,Bronco,Oficialmente Loco,sad
289,Los Pasteles Verdes,El Solitario,sad
290,Ana Barbara,Bandido,sad
291,Joan Sebastian,Rumores ,sad
292,Jose Jose,Lo Dudo,sad
293,Los Mier,Te Amo,sad
294,Camilo Sesto,Tarde O Temprano,sad
295,Marco Antonio Solis,Amor En Silencio,sad
296,Vicente Fernandez,El Rey,sad
297,Los Humildes,Vestido Mojado,sad
298,Los Bukis,Que Mala,sad
299,Joan Sebastian,El Perdedor,sad
300,La Mafia,Me Estoy Enamorando,sad
301,Banda Machos,Al Gato Y Al Raton,sad
302,Joan Sebastian,Sentimental,sad
303,Palomo,Baraja De Oro,sad
304,The Bee Gees,Night Fever,sad
305,Deniece Williams,It's Gonna Take A Miracle,happy
306,Wings,Silly Love Songs,happy
307,Faith Hill,This Kiss,happy
308,Daryl Hall & John Oates,Kiss On My List,happy
309,Celine Dion,My Heart Will Go On,happy
310,Cher,Believe,happy
311,Backstreet Boys,I Want It That Way,angry
312,Lil Wayne,On Fire,angry
313,Kylie,All The Lovers,angry
314,Chromeo,Don't Turn The Lights On,sad
315,Rockell,In A Dream,happy
316,Infernal,From Paris To Berlin,happy
317,Ministry,Everyday Is Halloween,angry
318,Ferry Corsten,Fire,angry
319,Yves Larock,Rise Up,relaxed
320,Angel City,Love Me Right ,happy
321,MercyMe,Bless Me Indeed,relaxed
322,Aaron Shust,Watch Over Me,sad
323,Pocket Full Of Rocks,Song To The King,happy
324,The Museum,Never Look Away,angry
325,Brandon Heath,Love Never Fails,happy
326,Above The Golden State,I'll Love You So,happy
327,Jars Of Clay,They'll Know We Are Christians By Our Love,happy
328,Mark Schultz,Love Has Come,happy
329,Robbie Seay Band,Song Of Hope ,happy
330,Matt Brouwer,Sometimes,angry
331,Third Day,I Believe,happy
332,Fee,Glory To God Forever,happy
333,Sade,Somebody Already Broke My Heart,angry
334,Al Green,I'm Still In Love With You,happy
335,Phil Collins,Another Day In Paradise,relaxed
336,Jonathan Butler,So Strong,happy
337,The Cardigans,Lovefool,happy
338,Ryan Star,Start A Fire,angry
339,Dido,Hunter,relaxed
340,R.E.M.,Shiny Happy People,happy
341,Evanescence,My Immortal,angry
342,Michelle Branch,All You Wanted,sad
343,Tonic,You Wanted More,happy
344,Fontella Bass,Rescue Me,happy
345,The Beach Boys,Wouldn't It Be Nice,relaxed
346,Three Dog Night,An Old Fashioned Love Song,happy
347,The Beatles,Here Comes The Sun,relaxed
348,Billy Joel,Uptown Girl,relaxed
349,The Beatles,Love Me Do ,happy
350,The Beatles,In My Life,happy
351,The Beatles,All You Need Is Love,happy
352,Johnny Nash,I Can See Clearly Now,relaxed
353,Three Dog Night,Joy To The World,happy
354,Ringo Starr,It Don't Come Easy,relaxed
355,Shontelle,Perfect Nightmare,angry
356,Ke$ha,Your Love Is My Drug,happy
357,Shenandoah,I Want To Be Loved Like That,happy
358,George Strait,Baby Blue,relaxed
359,Porter Wagoner,"Green, Green Grass Of Home",relaxed
360,John Anderson,Wild And Blue,relaxed
361,Merle Haggard,Rainbow Stew,relaxed
362,Juice Newton,Angel Of The Morning,relaxed
363,Randy Travis,If I Didn't Have You,sad
364,Johnny Cash,Ring Of Fire,angry
365,Willie Nelson,Always On My Mind,relaxed
366,Dwight Yoakam,Honky Tonk Man,relaxed
367,Mark Chesnutt,Brother Jukebox,relaxed
368,Cavo,Blame,sad
369,Sammy Hagar,I Don't Need Love,happy
370,Alice Cooper,School's Out,sad
371,Kiss,Do You Love Me?,happy
372,Led Zeppelin,Nobody's Fault But Mine,sad
373,ZZ Top,Blue Jean Blues,relaxed
374,Thirty Seconds To Mars,This Is War,angry
375,311,Lovesong,happy
376,Marilyn Manson,Tainted Love,happy
377,Muse,Supermassive Black Hole,sad
378,Three Days Grace,Pain,angry
379,The Cult,Fire Woman,angry
380,Nirvana,Polly,sad
381,Stone Temple Pilots,Unglued,sad
382,Jimmy Eat World,Pain,angry
383,Blink-182,I Miss You,sad
384,Cake,Sick Of You,sad
385,Metric,Eclipse ,angry
386,Cake,War Pigs,angry
387,Marilyn Manson,The Fight Song,angry
388,Muse,Map Of The Problematique,sad
389,The Temptations,I Want A Love I Can See,happy
390,Alejandro Fernandez,Matalas,sad
391,Mary J. Blige,I Love You,happy
392,Liquits,Desde Que,sad
393,Pedro Infante,Luna De Octubre,sad
394,Bobby Vinton,Mr. Lonely,sad
395,Tommy James & The Shondells,Crystal Blue Persuasion,relaxed
396,Victor Manuelle,Nunca Habia Llorado Asi ,sad
397,Ian Van Dahl,Will I,happy
398,Kosheen,Hide U,angry
399,Ronnie Milsap,Stranger In My House,relaxed
400,Hank Williams,Your Cheatin' Heart,relaxed
401,Mark Chesnutt,Your Love Is A Miracle,happy
402,Dolly Parton,Real Love,happy
403,Patty Loveless,I'm That Kind Of Girl,relaxed
404,The Marshall Tucker Band,Heard It In A Love Song,happy
405,T. Graham Brown,I Tell It Like It Used To Be,happy
406,Marty Stuart,Burn Me Down,angry
407,George Strait,Let's Fall To Pieces Together,sad
408,Sammi Smith,Help Me Make It Through The Night,sad
409,Dolly Parton,Love Is Like A Butterfly,relaxed
410,Dolly Parton,I Will Always Love You,happy
411,Emmylou Harris,Queen Of The Silver Dollar,relaxed
412,Earl Thomas Conley,I Can't Win For Losin' You,happy
413,Charley Pride,Kiss An Angel Good Mornin',happy
414,The Judds,Love Can Build A Bridge,happy
415,Jack Ingram,Mustang Burn,angry
416,George Strait,True,relaxed
417,Vince Gill,When I Call Your Name,sad
418,Alabama,Old Flame,angry
419,Dwight Yoakam,Please Please Baby,relaxed
420,Eddie Rabbitt,You And I,happy
421,Dwight Yoakam,Ain't That Lonely Yet,sad
422,Jonatha Brooke,Little Bird,relaxed
423,Quincy Jones,Killer Joe,sad
424,Roberta Flack & Donny Hathaway,Where Is The Love,happy
425,Jon B.,Someone To Love ,happy
426,Jack Ingram,Love You,happy
427,Taylor Dayne,I'll Always Love You,happy
428,Santana,Whole Lotta Love ,happy
429,Soundgarden,Let Me Drown,angry
430,Alice Cooper,Poison,angry
431,Dokken,Alone Again,sad
432,Iron Maiden,Phantom Of The Opera,sad
433,Scorpions,Animal Magnetism,happy
434,Black Sabbath,The Devil Cried,angry
435,The Who,Long Live Rock,sad
436,Led Zeppelin,Bring It On Home,relaxed
437,Scorpions,Coming Home,relaxed
438,Brian McKnight,Love Of My Life,happy
439,Lionel Richie,Penny Lover,happy
440,Lisa Stansfield,Change,happy
441,Celine Dion,Love Can Move Mountains,happy
442,Jah Cure,Love Is,happy
443,Jody Watley,Looking For A New Love,happy
444,Bobby Darin,Dream Lover,relaxed
445,The Archies,"Sugar, Sugar",relaxed
446,Gwen Mccrae,Rockin' Chair,relaxed
447,Whitney Houston,You Give Good Love,happy
448,Paul Anka,Puppy Love,happy
449,Harold Melvin & The Blue Notes,Don't Leave Me This Way,happy
450,Gyptian,Beautiful Lady,relaxed
451,Bob Marley & The Wailers,So Much Trouble In The World,angry
452,Donna Summer,Love To Love You Baby,happy
453,Donna Summer,I Feel Love,happy
454,New Edition,Lost In Love,happy
455,Duane Stephenson,Cottage In Negril,relaxed
456,Beyonce,Dangerously In Love,happy
457,Rihanna,Russian Roulette,angry
458,Michael Jackson,Gone Too Soon,relaxed
459,Shania Twain,From This Moment On,relaxed
460,Julio Iglesias,My Love,happy
461,"Phillips, Craig & Dean",You Are God Alone,happy
462,Matt Brouwer,"Father, I Adore You",happy
463,Counting Crows,Accidentally In Love,happy
464,Fistful Of Mercy,Father's Son,sad
465,Greg Laswell,Take Everything ,relaxed
466,A Flock Of Seagulls,Space Age Love Song,happy
467,Peter Gabriel,Shock The Monkey,sad
468,Los Tigres Del Norte,Jose Perez Leon,sad
469,The Beatles,P.S. I Love You,happy
470,Portugal. The Man,People Say,angry
471,Concrete Blonde,Joey,angry
472,Bruce Springsteen,I'm On Fire,angry
473,Sufjan Stevens,Vesuvius,angry
474,Fastball,Out Of My Head,sad
475,Dire Straits,So Far Away,relaxed
476,Train,Cab,sad
477,Blind Faith,Can't Find My Way Home,relaxed
478,Dave Matthews Band,Everyday,happy
479,Pete Droge & The Sinners,Beautiful Girl,relaxed
480,Roxy Music,Jealous Guy,angry
481,Shawn Colvin,Get Out Of This House,relaxed
482,U2,Window In The Skies,happy
483,Mark Schultz,Love Has Come,happy
484,Sidewalk Prophets,You Can Have Me,happy
485,Josh Wilson,Before The Morning,angry
486,Brandon Heath,Your Love,happy
487,Jeremy Camp,Take You Back,angry
488,Third Day,God Of Wonders,relaxed
489,The Georgia Mass Choir,Joy,happy
490,Stevie Wonder,Lookin' For Another Pure Love,happy
491,Jody Watley,Real Love,happy
492,Chet Baker,Let's Get Lost,angry
493,Nina Simone,Feeling Good,relaxed
494,Mel Torme,Comin' Home Baby,relaxed
495,Freddie Hubbard,Red Clay,happy
496,Cassandra Wilson,Time After Time,sad
497,Patrice Rushen,Remind Me,happy
498,Curtis Mayfield,Give Me Your Love ,happy
499,Chayanne,Tu Boca,sad
500,Jeremias,Hay Un Amor Afuera,sad
501,David Bisbal,Esclavo De Sus Besos,sad
502,Darlene Zschech,Call Upon His Name ,relaxed
503,Aaron Shust,To God Alone,happy
504,Laura Story,What A Savior,happy
505,Darrell Evans,Trading My Sorrows,angry
506,Newsong,My Heart's Already There,happy
507,Britt Nicole,The Lost Get Found,angry
508,Jadon Lavik,Hear Our Song,happy
509,The Afters,All That I Am,happy
510,Todd Agnew,Joy Unspeakable,happy
511,Norman Hutchins,Get Ready For Your Miracle,happy
512,Diana Krall,You're My Thrill,happy
513,Jonathan Butler,Color Green,relaxed
514,John Coltrane,Acknowledgement,happy
515,Seether,Driven Under,angry
516,Soundgarden,Rhinosaur,sad
517,Metallica,Fight Fire With Fire,angry
518,Deftones,You've Seen the Butcher,sad
519,Velvet Revolver,Fall To Pieces,sad
520,Puddle Of Mudd,Away From Me,angry
521,Staind,Home,angry
522,Pearl Jam,Glorified G,angry
523,Alex Bueno,Que Vuelva,sad
524,Los Iracundos,Y Te Has Quedado Sola,sad
525,Moenia,Ni Tu Ni Nadie,sad
526,David Guetta,On The Dancefloor ,angry
527,Los Cadetes De Linares,El Palomito,sad
528,La Oreja De Van Gogh,Vestido Azul,sad
529,Paulina Rubio,Algo De Ti,sad
530,Fred Hammond & Radical For Christ,I Will Bless His Holy Name,relaxed
531,Whitney Houston,Joy ,happy
532,Israel & New Breed,Friend Of God,happy
533,Micah Stampley,War Cry,angry
534,Gary Wright,Love Is Alive,happy
535,Scissor Sisters,Fire With Fire,angry
536,The Drifters,Some Kind Of Wonderful,relaxed
537,J. Moss,Abundantly,relaxed
538,Phil Perry,Love Don't Love Nobody,happy
539,Cherrelle,Everything I Miss At Home,relaxed
540,The Ohio Players,Love Rollercoaster,happy
541,The Staple Singers,Respect Yourself,relaxed
542,Clyde McPhatter,Lover Please,sad
543,The Jackson 5,Maybe Tomorrow,relaxed
544,The Blackbyrds,Walking In Rhythm,relaxed
545,Shalamar,Take That To The Bank,happy
546,Maze,Love Is The Key ,relaxed
547,Gerald Levert,Baby Hold On To Me,relaxed
548,Maxwell,Fortunate,relaxed
549,Eddie Kendricks,Intimate Friends,happy
550,Teena Marie,Young Love,happy
551,Ledisi,In The Morning,happy
552,Miki Howard,Come Share My Love,happy
553,Smokey Robinson,I Can't Give You Anything But Love,happy
554,George Benson,Don't Let Me Be Lonely Tonight,sad
555,Natalie Cole,Our Love,happy
556,Jimmy Sommers,If I Knew ,angry
557,Kindred The Family Soul,House Of Love,relaxed
558,Anita Baker,Angel,relaxed
559,Usher,Burn,angry
560,Waka Flocka Flame,Bustin' At 'Em,sad
561,Wavves,Mickey Mouse,sad
562,Suuns,Organ Blues,happy
563,The Apples In Stereo,Dream About The Future,relaxed
564,Bob Marley & The Wailers,Small Axe,sad
565,Waking The Cadaver,Boss Status,angry
566,Jah Cure,Troddin The Valley,angry
567,Bonnie 'Prince' Billy,Love Comes To Me,happy
568,Clap Your Hands Say Yeah,In This Home On Ice,sad
569,No Age,Fever Dreaming,sad
570,Grizzly Bear,Knife,angry
571,Out Hud,It's For You,sad
572,Hot Snakes,Braintrust,relaxed
573,Gravenhurst,The Velvet Cell,angry
574,Jemina Pearl,I Hate People ,angry
575,Asobi Seksu,Thursday,sad
576,Someone Still Loves You Boris Yeltsin,In Pairs,happy
577,Living Sacrifice,The Training,angry
578,Elliott Smith,Let's Get Lost,angry
579,Spank Rock,What It Look Like,sad
580,Stacey Kent,What A Wonderful World,relaxed
581,Frank Sinatra,My Kind Of Girl,relaxed
582,Ted Weems,Heartaches,happy
583,Rosemary Clooney,Come On-A My House,relaxed
584,Tommy Dorsey & His Orchestra,I'll Never Smile Again ,happy
585,Billie Holiday,Nice Work If You Can Get It,relaxed
586,Nat King Cole,Too Young,happy
587,Frank Sinatra,Nice 'N' Easy,relaxed
588,Nat King Cole,The Very Thought Of You ,relaxed
589,Escape The Fate,Issues,sad
590,Garbage,Stupid Girl,sad
591,Alkaline Trio,This Addiction,sad
592,Radiohead,Just,sad
593,Deftones,Minerva,relaxed
594,Sublime,Jailhouse,angry
595,Against Me!,I Was A Teenage Anarchist,angry
596,Sade,Love Is Stronger Than Pride,happy
597,Bruce Hornsby,Walk In The Sun,relaxed
598,Brian McKnight,Crazy Love,happy
599,Lionel Richie,You Are,happy
600,Harry Nilsson,Jump Into The Fire,happy
601,The Derek Trucks Band,Rastaman Chant,relaxed
602,Monchy & Alexandra,Dos Locos,sad
603,Chayanne,Un Siglo Sin Ti,sad
604,Domenic Marte,Eres Asi,sad
605,Juanes,Me Enamora,sad
606,Aleks Syntek,Duele El Amor ,sad
607,Amy Grant,Lucky One,happy
608,Natalie Cole,Inseparable,relaxed
609,Michael Jackson,One More Chance,happy
610,Robert John,Sad Eyes,sad
611,Elton John,Blue Eyes,relaxed
612,Bread,Make It With You,relaxed
613,Wilson Phillips,You're In Love,happy
614,Three Dog Night,Black & White,relaxed
615,Carly Simon,Haven't Got Time For The Pain,angry
616,Kenny Loggins,Meet Me Half Way,relaxed
617,Lionel Richie,Truly,happy
618,Stevie Wonder,Sweetest Somebody I Know,happy
619,Michael Jackson,Got To Be There,relaxed
620,The Emotions,Don't Ask My Neighbors,angry
621,The Majors,A Wonderful Dream,relaxed
622,The Everly Brothers,All I Have To Do Is Dream,relaxed
623,War,The World Is A Ghetto,relaxed
624,The O'Jays,For The Love Of Money,happy
625,The Rolling Stones,I Just Want To Make Love To You,happy
626,The Beatles,Birthday,happy
627,The Beatles,The End,happy
628,.38 Special,Fantasy Girl,relaxed
629,The Beatles,Happiness Is A Warm Gun,angry
630,The Jimi Hendrix Experience,Stone Free,relaxed
631,Alice Cooper,Be My Lover,relaxed
632,Sanctus Real,The Face Of Love,happy
633,BarlowGirl,I Need You To Love Me,happy
634,John Prine,Glory Of True Love,happy
635,Luciano,For The Leaders,angry
636,Gregory Isaacs,Slavemaster,angry
637,Chimaira,Pure Hatred,angry
638,Sevendust,Bitch,angry
639,Theory Of A Deadman,Hate My Life,angry
640,Evans Blue,Cold ,sad
641,Patricia Barber,Easy To Love,relaxed
642,Alabama,Down Home,relaxed
643,Jo Dee Messina,Bring On The Rain,sad
644,Thousand Foot Krutch,Fire It Up,angry
645,God Forbid,War Of Attrition,angry
646,Nirvana,Come As You Are,angry
647,Chiodos,Caves,angry
648,Nirvana,Polly ,sad
649,Lit,Miserable,angry
650,Olga Tanon,Asi Es La Vida,sad
651,Britney Spears,Toxic,angry
652,Natasha Bedingfield,These Words,happy
653,Akon,Don't Matter,angry
654,Sean Kingston,Fire Burning On The Dance Floor,angry
655,Robert Plant,You Can't Buy My Love,happy
656,Rosanne Cash,Motherless Children,happy
657,The Black Keys,Next Girl,relaxed
